symbol,exchange,ticker,company_name,security_type,sector,currency,price,pricescale,market_cap,market_cap_trillions,daily_change_pct,daily_change_abs,perf_1m,perf_3m,perf_6m,perf_y,perf_ytd,volatility_d,price_52w_high,price_52w_low,avg_volume_30d,avg_volume_10d,volume,shares_outstanding,shares_outstanding_fund,employees,eps_ttm,revenue_per_employee,gross_profit_1y_growth,logoid,update_mode,market_direction
NYSE:EBF,NYSE,EBF,,common,Commercial Services,USD,20.96,100,530251775.75928545,0.0005,-1.4574518100611131,-0.3099999999999987,-4.900181488203259,0.3831417624521161,-1.4111006585136439,16.31520532741399,16.379789006107714,1.6459923664122083,22.94,16.3,146436.23333333334,124929.9,18669,25298300,25298300,1835,1.6764,,,ennis,delayed_streaming_900,sell
OTC:ARYTF,OTC,ARYTF,,common,Electronic Technology,USD,5.2,100,529924256.2345277,0.0005,-0.7633587786259549,-0.040000000000000036,-36.352509179926564,-47.421638018200206,-71.11111111111111,5100,-74.8792270531401,0.7692307692307699,20.8,5.2,488.6666666666667,670.9,2100,101909000,101909000,208,1.063507104,,,aryt,delayed_streaming_900,sell
OTC:BSXGF,OTC,BSXGF,,common,Non-Energy Minerals,USD,0.9525,10000,529465416.4762773,0.0005,-3.9818548387096753,-0.03949999999999998,5.833333333333332,31.144155307724095,-4.749999999999998,332.95454545454544,157.43243243243242,4.995766299745981,1.21,0.189,181047.06666666668,130726.4,38928,555868750,555868750,38,-0.015065599999999998,,,belo-sun-mining,delayed_streaming_900,sell
OTC:RNRTY,OTC,RNRTY,,,Consumer Durables,USD,6.8,100,528635277.2624999,0.0005,-8.232118758434552,-0.6100000000000003,-4.090267983074754,-4.090267983074754,-4.090267983074754,3.9755351681957154,-11.802853437094685,8.970588235294121,7.71,6,1671.3333333333333,1892.2,100,78332500,78332500,,0.6441,,,reunert-ltd,delayed_streaming_900,sell
NASDAQ:EOLS,NASDAQ,EOLS,,common,Health Technology,USD,8,100,528403484.714119,0.0005,-6.6511085180863505,-0.5700000000000003,4.1666666666666705,22.8878648233487,61.29032258064516,8.84353741496599,19.225037257824145,7.1250000000000036,9.31,3.86,1060497.4666666666,907128.9,267299,66050399.99999999,66050399.99999999,334,-0.527,,,evolus,delayed_streaming_900,sell
NYSE:XRN,NYSE,XRN,,common,Finance,USD,36.45,100,528330356.2114658,0.0005,-1.4332071389940348,-0.529999999999994,0.96952908587258,-2.4618678084024475,5.3772766695576735,-3.4437086092715155,8.48214285714286,2.9844588089671324,39.93,29.05,92712.86666666667,87359.6,32028,13237800,13237800,30,3.7225,,,global-medical-reit-series-a-cumulative-redeemable-preferred-stock,delayed_streaming_900,sell
NASDAQ:ARTV,NASDAQ,ARTV,,common,Health Technology,USD,10.8,100,528013310.21316034,0.0005,0.09267840593143248,0.010000000000001563,-3.3989266547405994,25.435540069686425,62.40601503759399,285.7142857142857,149.4226327944573,5.040603526980921,14.53,2.22,298309.6666666667,249614.1,157907,48890120,48890120,104,-3.3119,,,artiva-biotherapeutics,delayed_streaming_900,buy
OTC:CFWFF,OTC,CFWFF,,common,Industrial Services,USD,5.23,100,527929808.226257,0.0005,0.965250965250979,0.05000000000000071,10.105263157894745,9.758656873032544,46.08938547486034,116.12463324930783,66.03174603174605,0.9560229445506827,5.23,2.11,19504.566666666666,2871.500000000023,615,100943000,100943000,1855,0.42972160000000004,,,calfrac-well-services-ltd,delayed_streaming_900,buy
NASDAQ:ROMA,NASDAQ,ROMA,,common,Commercial Services,USD,8.85,100,527146496,0.0005,-1.5572858731924424,-0.14000000000000057,-1.4476614699331936,29.3859649122807,49.746192893401,247.05882352941177,453.125,1.6968325791855243,11.77,1.16,5651.033333333334,3271.3,2298,53493465,53493465,17,-0.0723,,,roma-green-finance-limited,delayed_streaming_900,sell
NYSE:VKQ,NYSE,VKQ,,closedend,Miscellaneous,USD,9.42,100,526240604.99999994,0.0005,-0.9463722397476325,-0.08999999999999986,-5.040322580645161,-4.462474645030421,-3.58239508700102,-0.5279831045406622,-2.1806853582554604,1.0626992561105169,10.11,9.29,164732.86666666667,161332.3,71234,55335500,55335500,,0.3083,,,invesco,delayed_streaming_900,sell
NASDAQ:NEXN,NASDAQ,NEXN,,common,Technology Services,USD,9.21,100,524522686.26935667,0.0005,0.4362050163576982,0.040000000000000924,-13.925233644859798,6.844547563805124,23.29317269076307,-8.358208955223878,35.64064801178205,1.8681318681318675,11.3,5.6,499840.1666666667,427310.3,57295,56951400,56951400,909,0.2301,,,tremor-intl-ltd,delayed_streaming_900,buy
NYSE:VHI,NYSE,VHI,,common,Process Industries,USD,18.485,100,523517270.12241,0.0005,0.7906215921483073,0.14499999999999957,11.691842900302108,27.570738440303654,31.565836298932375,14.600123992560452,55.205709487825345,6.076093128904033,19.19,11.44,18729.233333333334,17909.1,5630,28321200,28321200,2826,-1.793,,,valhi,delayed_streaming_900,buy
NASDAQ:BSRR,NASDAQ,BSRR,,common,Finance,USD,40.35,100,523073056.0663859,0.0005,-0.04954173891502607,-0.01999999999999602,0.9254627313656942,-0.0990344144590224,21.025794841031786,34.54484828276093,23.018292682926845,1.3767209011264008,43.125,26.49,52715.833333333336,44500.7,10301,12963400,12963400,469,3.4349,,,sierra-bancorp,delayed_streaming_900,sell
NYSE:WNC,NYSE,WNC,,common,Producer Manufacturing,USD,12.81,100,521843162.48076916,0.0005,-1.4615384615384577,-0.1899999999999995,2.153110047846901,43.128491620111745,54.71014492753625,13.563829787234054,46.90366972477064,2.84810126582278,14.47,6.63,807885.7,676152.8,131955,40737200,40737200,4700,-1.918,,,wabash-national,delayed_streaming_900,sell
NASDAQ:PBAM,NASDAQ,PBAM,,common,Finance,USD,91,100,521410721.78666073,0.0005,0.4858657243816229,0.4399999999999977,6.420301719097176,22.14765100671141,38.08801213960545,57.357772782292926,59.369527145359015,2.2540528536531212,92.09,54.45,52384.13333333333,113627.3,139556,5729790,5729790,,7.792,,,private-bancorp-of-america,delayed_streaming_900,buy
NYSE:QUAD,NYSE,QUAD,,common,Commercial Services,USD,10.12,100,521173116.4059112,0.0005,-0.2955665024630654,-0.030000000000001137,3.1600407747196604,33.86243386243386,54.26829268292683,54.50381679389312,61.91999999999999,1.188118811881198,11.145,5.12,429838.2,356035,53309,38199300,38199300,10100,0.6555,,,quad-graphics,delayed_streaming_900,sell
OTC:CALZF,OTC,CALZF,,common,Health Technology,USD,0.75325,10000,520377479.70666665,0.0005,2.48299319727891,0.01824999999999999,21.491935483870964,5.593327258708899,14.5104895104895,-3.317930945963296,-8.140243902439021,2.422834384334549,1.02,1e-06,8275.633333333333,2784.6,600,690843000,690843000,301,0.007332974,,,polynovo,delayed_streaming_900,buy
NYSE:IQI,NYSE,IQI,,closedend,Miscellaneous,USD,9.75,100,520376591.99999994,0.0005,-0.914634146341462,-0.08999999999999986,-3.081510934393643,-2.888446215139434,-2.9850746268656785,-0.8138351983723303,-2.2066198595787423,1.0246196176669895,10.42,9.26,158350.56666666668,162830.3,98511,52883800,52883800,,0.3388,,,invesco,delayed_streaming_900,sell
NYSE:MOV,NYSE,MOV,,common,Consumer Durables,USD,32.595,100,520108067.63441527,0.0005,-0.19902020820574937,-0.06499999999999773,-11.976775587361605,-15.006518904823995,39.65295629820051,69.8540906722251,57.46376811594203,2.2136222910216827,40.5,17.24,183134.03333333333,168028.4,38207,15956600,15956600,1386,1.8628,,,movado,delayed_streaming_900,sell
