"asset_id","symbol","ticker","exchange","asset_class","sector","sector_es","company_name","logo_id","is_active","valid_from","valid_to","current_version","created_at","updated_at"
41,NYSE:BAC/PK,BAC/PK,NYSE,preferred,Finance,,BAC/PK,,true,2026-09-10 12:13:38.883 -0500,infinity,true,2026-09-10 12:13:38.883 -0500,2026-09-10 16:15:24.126 -0500
53,OTC:BACRP,BACRP,OTC,preferred,Finance,,BACRP,,true,2026-09-10 12:13:38.897 -0500,infinity,true,2026-09-10 12:13:38.897 -0500,2026-09-10 16:15:24.136 -0500
58,OTC:IDCBY,IDCBY,OTC,"",Finance,,IDCBY,,true,2026-09-10 12:13:38.904 -0500,infinity,true,2026-09-10 12:13:38.904 -0500,2026-09-10 16:15:24.144 -0500
59,OTC:IDCBF,IDCBF,OTC,common,Finance,,IDCBF,,true,2026-09-10 12:13:38.905 -0500,infinity,true,2026-09-10 12:13:38.905 -0500,2026-09-10 16:15:24.145 -0500
50,NYSE:BAC/PS,BAC/PS,NYSE,preferred,Finance,,BAC/PS,,true,2026-09-10 12:13:38.894 -0500,infinity,true,2026-09-10 12:13:38.894 -0500,2026-09-10 16:15:24.139 -0500
52,NYSE:BAC/PM,BAC/PM,NYSE,preferred,Finance,,BAC/PM,,true,2026-09-10 12:13:38.896 -0500,infinity,true,2026-09-10 12:13:38.896 -0500,2026-09-10 16:15:24.130 -0500
57,NYSE:CVX,CVX,NYSE,common,Energy Minerals,,CVX,,true,2026-09-10 12:13:38.902 -0500,infinity,true,2026-09-10 12:13:38.902 -0500,2026-09-10 16:15:24.143 -0500
48,NYSE:BAC/PL,BAC/PL,NYSE,preferred,Finance,,BAC/PL,,true,2026-09-10 12:13:38.891 -0500,infinity,true,2026-09-10 12:13:38.891 -0500,2026-09-10 16:15:24.127 -0500
45,NYSE:BML/PG,BML/PG,NYSE,preferred,Finance,,BML/PG,,true,2026-09-10 12:13:38.888 -0500,infinity,true,2026-09-10 12:13:38.888 -0500,2026-09-10 16:15:24.132 -0500
61,NASDAQ:PLTR,PLTR,NASDAQ,common,Technology Services,,PLTR,,true,2026-09-10 12:13:38.908 -0500,infinity,true,2026-09-10 12:13:38.908 -0500,2026-09-10 16:15:24.147 -0500
46,NYSE:BML/PL,BML/PL,NYSE,preferred,Finance,,BML/PL,,true,2026-09-10 12:13:38.889 -0500,infinity,true,2026-09-10 12:13:38.889 -0500,2026-09-10 16:15:24.133 -0500
54,NYSE:BAC/PQ,BAC/PQ,NYSE,preferred,Finance,,BAC/PQ,,true,2026-09-10 12:13:38.899 -0500,infinity,true,2026-09-10 12:13:38.899 -0500,2026-09-10 16:15:24.124 -0500
4,NASDAQ:GOOGL,GOOGL,NASDAQ,common,Technology Services,,GOOGL,,true,2026-09-10 12:13:38.833 -0500,infinity,true,2026-09-10 12:13:38.833 -0500,2026-09-10 16:15:24.067 -0500
42,NYSE:BML/PH,BML/PH,NYSE,preferred,Finance,,BML/PH,,true,2026-09-10 12:13:38.885 -0500,infinity,true,2026-09-10 12:13:38.885 -0500,2026-09-10 16:15:24.138 -0500
6,NASDAQ:GOOGM,GOOGM,NASDAQ,preferred,Technology Services,,GOOGM,,true,2026-09-10 12:13:38.835 -0500,infinity,true,2026-09-10 12:13:38.835 -0500,2026-09-10 16:15:24.068 -0500
43,NYSE:BAC/PN,BAC/PN,NYSE,preferred,Finance,,BAC/PN,,true,2026-09-10 12:13:38.886 -0500,infinity,true,2026-09-10 12:13:38.886 -0500,2026-09-10 16:15:24.131 -0500
2,NASDAQ:AAPL,AAPL,NASDAQ,common,Electronic Technology,,AAPL,,true,2026-09-10 12:13:38.829 -0500,infinity,true,2026-09-10 12:13:38.829 -0500,2026-09-10 16:15:24.063 -0500
60,NASDAQ:COST,COST,NASDAQ,common,Retail Trade,,COST,,true,2026-09-10 12:13:38.906 -0500,infinity,true,2026-09-10 12:13:38.906 -0500,2026-09-10 16:15:24.146 -0500
